Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2019,Yukon,Total electric charging and alternative fuelling stations,60,4
2019,Yukon,Electric,60,2
2019,Yukon,Propane,60,2
2020,Yukon,Total electric charging and alternative fuelling stations,60,6
2020,Yukon,Electric,60,4
2022,Yukon,Total electric charging and alternative fuelling stations,60,14
2022,Yukon,Electric,60,12
2023,Yukon,Total electric charging and alternative fuelling stations,60,35
2023,Yukon,Electric,60,33
2024,Yukon,Total electric charging and alternative fuelling stations,60,40
2024,Yukon,Electric,60,38
2025,Yukon,Total electric charging and alternative fuelling stations,60,48
2025,Yukon,Electric,60,46
