Year,Sex,Age group,Value
2011,Both sexes,25 to 29 years,0
2011,Males,25 to 29 years,0
2011,Females,25 to 29 years,0
2011,Both sexes,30 to 34 years,1
2011,Males,30 to 34 years,1
2011,Females,30 to 34 years,0
2011,Both sexes,35 to 39 years,0
2011,Males,35 to 39 years,0
2011,Females,35 to 39 years,0
2011,Both sexes,40 to 44 years,2
2011,Males,40 to 44 years,2
2011,Females,40 to 44 years,0
2011,Both sexes,45 to 49 years,0
2011,Males,45 to 49 years,0
2011,Females,45 to 49 years,0
2011,Both sexes,50 to 54 years,0
2011,Males,50 to 54 years,0
2011,Females,50 to 54 years,0
2011,Both sexes,55 to 59 years,2
2011,Males,55 to 59 years,2
2011,Females,55 to 59 years,0
2011,Both sexes,60 to 64 years,0
2011,Males,60 to 64 years,0
2011,Females,60 to 64 years,0
2011,Both sexes,65 to 69 years,1
2011,Males,65 to 69 years,1
2011,Females,65 to 69 years,0
2011,Both sexes,70 to 74 years,1
2011,Males,70 to 74 years,0
2011,Females,70 to 74 years,1
2011,Both sexes,75 to 79 years,1
2011,Males,75 to 79 years,0
2011,Females,75 to 79 years,1
2011,Both sexes,80 to 84 years,4
2011,Males,80 to 84 years,2
2011,Females,80 to 84 years,2
2011,Both sexes,85 to 89 years,1
2011,Males,85 to 89 years,1
2011,Females,85 to 89 years,0
2011,Both sexes,90 years and over,3
2011,Males,90 years and over,2
2011,Females,90 years and over,1
2011,Both sexes,"Age, not stated",0
2011,Males,"Age, not stated",0
2011,Females,"Age, not stated",0
2012,,,8
2012,Males,"Total, all ages",8
2012,Females,"Total, all ages",0
2012,Both sexes,Under 1 years,0
2012,Males,Under 1 years,0
2012,Females,Under 1 years,0
2012,Both sexes,1 to 4 years,0
2012,Males,1 to 4 years,0
2012,Females,1 to 4 years,0
2012,Both sexes,5 to 9 years,0
2012,Males,5 to 9 years,0
2012,Females,5 to 9 years,0
2012,Both sexes,10 to 14 years,0
2012,Males,10 to 14 years,0
2012,Females,10 to 14 years,0
2012,Both sexes,15 to 19 years,0
2012,Males,15 to 19 years,0
2012,Females,15 to 19 years,0
2012,Both sexes,20 to 24 years,0
2012,Males,20 to 24 years,0
2012,Females,20 to 24 years,0
2012,Both sexes,25 to 29 years,1
2012,Males,25 to 29 years,1
2012,Females,25 to 29 years,0
2012,Both sexes,30 to 34 years,0
2012,Males,30 to 34 years,0
2012,Females,30 to 34 years,0
2012,Both sexes,35 to 39 years,0
2012,Males,35 to 39 years,0
2012,Females,35 to 39 years,0
2012,Both sexes,40 to 44 years,2
2012,Males,40 to 44 years,2
2012,Females,40 to 44 years,0
2012,Both sexes,45 to 49 years,0
2012,Males,45 to 49 years,0
2012,Females,45 to 49 years,0
2012,Both sexes,50 to 54 years,1
2012,Males,50 to 54 years,1
2012,Females,50 to 54 years,0
2012,Both sexes,55 to 59 years,1
2012,Males,55 to 59 years,1
2012,Females,55 to 59 years,0
