Year,Industries,Activités de protection de l'environnement,Value
2019,Première transformation des métaux,Gestion des eaux usées,88.6
2019,Première transformation des métaux,Gestion de la pollution atmosphérique,66.3
2019,Première transformation des métaux,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",45.6
2019,Première transformation des métaux,Protection de la biodiversité et de l’habitat,14.6
2019,Première transformation des métaux,Lutte contre le bruit et les vibrations,23.8
2019,Fabrication de produits métalliques,"Total, activités de protection de l'environnement",84.3
2019,Fabrication de produits métalliques,Gestion des eaux usées,56.9
2019,Fabrication de produits métalliques,Gestion de la pollution atmosphérique,12.8
2019,Fabrication de produits métalliques,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",0.6
2019,Fabrication de produits métalliques,Protection de la biodiversité et de l’habitat,0.2
2019,Fabrication de produits métalliques,Lutte contre le bruit et les vibrations,0.9
2019,,"Total, activités de protection de l'environnement",92.4
2019,,Gestion des eaux usées,66.4
2019,,Gestion de la pollution atmosphérique,23.5
2019,,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",14.0
2019,,Protection de la biodiversité et de l’habitat,4.4
2019,,Lutte contre le bruit et les vibrations,8.8
2019,Fabrication de produits en plastique et en caoutchouc,"Total, activités de protection de l'environnement",97.7
2019,Fabrication de produits en plastique et en caoutchouc,Gestion des eaux usées,67.9
2019,Fabrication de produits en plastique et en caoutchouc,Gestion de la pollution atmosphérique,15.0
2019,Fabrication de produits en plastique et en caoutchouc,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",4.4
2019,Fabrication de produits en plastique et en caoutchouc,Protection de la biodiversité et de l’habitat,
2019,Fabrication de produits en plastique et en caoutchouc,Lutte contre le bruit et les vibrations,5.5
2019,Fabrication de machines,"Total, activités de protection de l'environnement",88.3
2019,Fabrication de machines,Gestion des eaux usées,58.9
2019,Fabrication de machines,Gestion de la pollution atmosphérique,16.1
2019,Fabrication de machines,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",3.5
2019,Fabrication de machines,Protection de la biodiversité et de l’habitat,0.9
2019,Fabrication de machines,Lutte contre le bruit et les vibrations,7.3
2019,Fabrication de meubles et de produits connexes,"Total, activités de protection de l'environnement",90.8
2019,Fabrication de meubles et de produits connexes,Gestion des eaux usées,55.8
2019,Fabrication de meubles et de produits connexes,Gestion de la pollution atmosphérique,10.0
2019,Fabrication de meubles et de produits connexes,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",
2019,Fabrication de meubles et de produits connexes,Protection de la biodiversité et de l’habitat,0.0
2019,Fabrication de meubles et de produits connexes,Lutte contre le bruit et les vibrations,5.7
2019,Autres industries de fabrication,"Total, activités de protection de l'environnement",81.4
2019,Autres industries de fabrication,Gestion des eaux usées,52.0
2019,Autres industries de fabrication,Gestion de la pollution atmosphérique,7.1
2019,Autres industries de fabrication,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",1.1
2019,Autres industries de fabrication,Protection de la biodiversité et de l’habitat,
2019,Autres industries de fabrication,Lutte contre le bruit et les vibrations,0.8
2019,Transport par pipeline,"Total, activités de protection de l'environnement",96.0
2019,Transport par pipeline,Gestion des eaux usées,72.0
2019,Transport par pipeline,Gestion de la pollution atmosphérique,60.0
2019,Transport par pipeline,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",62.0
