Year,Geography,Sources of waste for disposal,GeoCode,Value
2022,Saskatchewan,Non-residential sources of waste for disposal,47,382.9
2022,Alberta,All sources of waste for disposal,48,879.2
2022,Alberta,Residential sources of waste for disposal,48,281.6
2022,Alberta,Non-residential sources of waste for disposal,48,597.6
2022,British Columbia,All sources of waste for disposal,59,531.1
2022,British Columbia,Residential sources of waste for disposal,59,198.5
2022,British Columbia,Non-residential sources of waste for disposal,59,332.6
2022,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2022,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2022,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
