Year,Geography,Age group,Sex,Value
2018,Nova Scotia,35 to 49 years,Females,91.7
2019,Nova Scotia,35 to 49 years,Females,89.7
2020,Nova Scotia,35 to 49 years,Females,92.7
2015,Nova Scotia,50 to 64 years,Both sexes,90.4
2016,Nova Scotia,50 to 64 years,Both sexes,86.6
2017,Nova Scotia,50 to 64 years,Both sexes,87.7
2018,Nova Scotia,50 to 64 years,Both sexes,89.3
2019,Nova Scotia,50 to 64 years,Both sexes,91.7
2020,Nova Scotia,50 to 64 years,Both sexes,87.4
2015,Nova Scotia,50 to 64 years,Males,91.0
2016,Nova Scotia,50 to 64 years,Males,88.4
2017,Nova Scotia,50 to 64 years,Males,83.7
2018,Nova Scotia,50 to 64 years,Males,88.1
2019,Nova Scotia,50 to 64 years,Males,90.7
2020,Nova Scotia,50 to 64 years,Males,85.4
2015,Nova Scotia,50 to 64 years,Females,90.0
2016,Nova Scotia,50 to 64 years,Females,85.0
2017,Nova Scotia,50 to 64 years,Females,91.5
2018,Nova Scotia,50 to 64 years,Females,90.5
2019,Nova Scotia,50 to 64 years,Females,92.6
2020,Nova Scotia,50 to 64 years,Females,89.3
2015,Nova Scotia,65 years and over,Both sexes,88.4
2016,Nova Scotia,65 years and over,Both sexes,89.5
2017,Nova Scotia,65 years and over,Both sexes,90.0
2018,Nova Scotia,65 years and over,Both sexes,88.4
2019,Nova Scotia,65 years and over,Both sexes,89.7
2020,Nova Scotia,65 years and over,Both sexes,90.8
2015,Nova Scotia,65 years and over,Males,87.9
2016,Nova Scotia,65 years and over,Males,89.0
2017,Nova Scotia,65 years and over,Males,85.4
2018,Nova Scotia,65 years and over,Males,91.0
2019,Nova Scotia,65 years and over,Males,89.6
2020,Nova Scotia,65 years and over,Males,91.6
2015,Nova Scotia,65 years and over,Females,88.7
2016,Nova Scotia,65 years and over,Females,89.9
2017,Nova Scotia,65 years and over,Females,93.9
2018,Nova Scotia,65 years and over,Females,86.2
2019,Nova Scotia,65 years and over,Females,89.8
2020,Nova Scotia,65 years and over,Females,90.1
2015,New Brunswick,"Total, 12 years and over",Both sexes,90.0
2016,New Brunswick,"Total, 12 years and over",Both sexes,93.2
2017,New Brunswick,"Total, 12 years and over",Both sexes,92.4
2018,New Brunswick,"Total, 12 years and over",Both sexes,92.5
2019,New Brunswick,"Total, 12 years and over",Both sexes,91.8
2020,New Brunswick,"Total, 12 years and over",Both sexes,91.3
2015,New Brunswick,"Total, 12 years and over",Males,91.7
2016,New Brunswick,"Total, 12 years and over",Males,93.3
2017,New Brunswick,"Total, 12 years and over",Males,92.4
2018,New Brunswick,"Total, 12 years and over",Males,90.6
2019,New Brunswick,"Total, 12 years and over",Males,91.8
2020,New Brunswick,"Total, 12 years and over",Males,89.9
2015,New Brunswick,"Total, 12 years and over",Females,88.4
