Year,data.Geography,data.Core public infrastructure assets,data.Type of municipality by population size,GeoCode,Value
2016,data.Manitoba,data.Stormwater,data.All municipalities,46,50.5
2016,data.Manitoba,data.Stormwater,data.All urban municipalities,46,66.67
2016,data.Manitoba,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",46,0.0
2016,data.Manitoba,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",46,80.0
2016,data.Manitoba,data.Stormwater,"data.Urban municipalities, population 30,000 or more",46,100.0
2016,data.Manitoba,data.Stormwater,data.All rural municipalities,46,48.24
2016,data.Manitoba,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",46,49.32
2016,data.Manitoba,data.Stormwater,"data.Rural municipalities, population 5,000 or more",46,41.67
2016,data.Manitoba,data.Wastewater,data.All municipalities,46,31.62
2016,data.Manitoba,data.Wastewater,data.All urban municipalities,46,28.57
2016,data.Manitoba,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",46,0.0
2016,data.Manitoba,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",46,38.46
2016,data.Manitoba,data.Wastewater,"data.Urban municipalities, population 30,000 or more",46,50.0
2016,data.Manitoba,data.Wastewater,data.All rural municipalities,46,32.29
2016,data.Manitoba,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",46,31.76
2016,data.Manitoba,data.Wastewater,"data.Rural municipalities, population 5,000 or more",46,33.33
2016,data.Manitoba,data.Solid waste,data.All municipalities,46,14.81
2016,data.Manitoba,data.Solid waste,data.All urban municipalities,46,27.78
2016,data.Manitoba,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",46,0.0
2016,data.Manitoba,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",46,41.67
2016,data.Manitoba,data.Solid waste,"data.Urban municipalities, population 30,000 or more",46,0.0
2016,data.Manitoba,data.Solid waste,data.All rural municipalities,46,
2016,data.Manitoba,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",46,
2016,data.Manitoba,data.Solid waste,"data.Rural municipalities, population 5,000 or more",46,0.0
2016,data.Saskatchewan,data.Potable water,data.All municipalities,47,14.29
2016,data.Saskatchewan,data.Potable water,data.All urban municipalities,47,21.15
2016,data.Saskatchewan,data.Potable water,"data.Urban municipalities, population 1 to 4,999",47,17.95
2016,data.Saskatchewan,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",47,11.11
2016,data.Saskatchewan,data.Potable water,"data.Urban municipalities, population 30,000 or more",47,75.0
2016,data.Saskatchewan,data.Potable water,data.All rural municipalities,47,10.0
2016,data.Saskatchewan,data.Potable water,"data.Rural municipalities, population 1 to 4,999",47,10.53
2016,data.Saskatchewan,data.Potable water,"data.Rural municipalities, population 5,000 or more",47,0.0
2016,data.Saskatchewan,data.Stormwater,data.All municipalities,47,31.87
2016,data.Saskatchewan,data.Stormwater,data.All urban municipalities,47,41.03
2016,data.Saskatchewan,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",47,34.62
2016,data.Saskatchewan,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",47,44.44
2016,data.Saskatchewan,data.Stormwater,"data.Urban municipalities, population 30,000 or more",47,75.0
2016,data.Saskatchewan,data.Stormwater,data.All rural municipalities,47,25.0
2016,data.Saskatchewan,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",47,24.49
2016,data.Saskatchewan,data.Stormwater,"data.Rural municipalities, population 5,000 or more",47,33.33
2016,data.Saskatchewan,data.Wastewater,data.All municipalities,47,24.27
2016,data.Saskatchewan,data.Wastewater,data.All urban municipalities,47,39.13
2016,data.Saskatchewan,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",47,41.18
2016,data.Saskatchewan,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",47,12.5
2016,data.Saskatchewan,data.Wastewater,"data.Urban municipalities, population 30,000 or more",47,75.0
2016,data.Saskatchewan,data.Wastewater,data.All rural municipalities,47,12.07
2016,data.Saskatchewan,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",47,10.91
2016,data.Saskatchewan,data.Wastewater,"data.Rural municipalities, population 5,000 or more",47,33.33
2016,data.Saskatchewan,data.Solid waste,data.All municipalities,47,11.0
2016,data.Saskatchewan,data.Solid waste,data.All urban municipalities,47,19.44
2016,data.Saskatchewan,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",47,16.0
2016,data.Saskatchewan,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",47,14.29
2016,data.Saskatchewan,data.Solid waste,"data.Urban municipalities, population 30,000 or more",47,50.0
2016,data.Saskatchewan,data.Solid waste,data.All rural municipalities,47,6.35
2016,data.Saskatchewan,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",47,6.56
2016,data.Saskatchewan,data.Solid waste,"data.Rural municipalities, population 5,000 or more",47,0.0
2016,data.Alberta,data.Potable water,data.All municipalities,48,28.26
2016,data.Alberta,data.Potable water,data.All urban municipalities,48,35.59
2016,data.Alberta,data.Potable water,"data.Urban municipalities, population 1 to 4,999",48,20.0
2016,data.Alberta,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",48,29.63
2016,data.Alberta,data.Potable water,"data.Urban municipalities, population 30,000 or more",48,66.67
2016,data.Alberta,data.Potable water,data.All rural municipalities,48,24.8
2016,data.Alberta,data.Potable water,"data.Rural municipalities, population 1 to 4,999",48,27.16
2016,data.Alberta,data.Potable water,"data.Rural municipalities, population 5,000 or more",48,20.0
2016,data.Alberta,data.Stormwater,data.All municipalities,48,45.4
2016,data.Alberta,data.Stormwater,data.All urban municipalities,48,46.03
2016,data.Alberta,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",48,27.27
2016,data.Alberta,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",48,51.85
2016,data.Alberta,data.Stormwater,"data.Urban municipalities, population 30,000 or more",48,69.23
2016,data.Alberta,data.Stormwater,data.All rural municipalities,48,44.55
2016,data.Alberta,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",48,40.98
2016,data.Alberta,data.Stormwater,"data.Rural municipalities, population 5,000 or more",48,51.28
2016,data.Alberta,data.Wastewater,data.All municipalities,48,31.02
2016,data.Alberta,data.Wastewater,data.All urban municipalities,48,38.1
2016,data.Alberta,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",48,29.17
2016,data.Alberta,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",48,40.74
2016,data.Alberta,data.Wastewater,"data.Urban municipalities, population 30,000 or more",48,50.0
2016,data.Alberta,data.Wastewater,data.All rural municipalities,48,28.23
2016,data.Alberta,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",48,24.36
2016,data.Alberta,data.Wastewater,"data.Rural municipalities, population 5,000 or more",48,34.78
2016,data.Alberta,data.Solid waste,data.All municipalities,48,21.37
