Year,Géographie,Infractions,GeoCode,Value
2019,Nouvelle-Écosse,Total des infractions,12,5873.28
2020,Nouvelle-Écosse,Total des infractions,12,5850.61
2015,Nouvelle-Écosse,Homicide,,1.28
2016,Nouvelle-Écosse,Homicide,,1.38
2017,Nouvelle-Écosse,Homicide,,2.21
2018,Nouvelle-Écosse,Homicide,,1.15
2019,Nouvelle-Écosse,Homicide,,0.62
2020,Nouvelle-Écosse,Homicide,,3.57
2015,Nouvelle-Écosse,Total des autres infractions entraînant la mort,,0.21
2016,Nouvelle-Écosse,Total des autres infractions entraînant la mort,,0.32
2017,Nouvelle-Écosse,Total des autres infractions entraînant la mort,,0.21
2018,Nouvelle-Écosse,Total des autres infractions entraînant la mort,,0.31
2019,Nouvelle-Écosse,Total des autres infractions entraînant la mort,,0.82
2020,Nouvelle-Écosse,Total des autres infractions entraînant la mort,,0.31
2015,Nouvelle-Écosse,Tentative de meurtre,,3.52
2016,Nouvelle-Écosse,Tentative de meurtre,,2.97
2017,Nouvelle-Écosse,Tentative de meurtre,,2.84
2018,Nouvelle-Écosse,Tentative de meurtre,,1.98
2019,Nouvelle-Écosse,Tentative de meurtre,,4.33
2020,Nouvelle-Écosse,Tentative de meurtre,,4.8
2015,Nouvelle-Écosse,Agression sexuelle grave (niveau 3),,0.43
2016,Nouvelle-Écosse,Agression sexuelle grave (niveau 3),,0.42
2017,Nouvelle-Écosse,Agression sexuelle grave (niveau 3),,0.42
2018,Nouvelle-Écosse,Agression sexuelle grave (niveau 3),,0.73
2019,Nouvelle-Écosse,Agression sexuelle grave (niveau 3),,0.41
2020,Nouvelle-Écosse,Agression sexuelle grave (niveau 3),,0.92
2015,Nouvelle-Écosse,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.75
2016,Nouvelle-Écosse,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.74
2017,Nouvelle-Écosse,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.95
2018,Nouvelle-Écosse,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.73
2019,Nouvelle-Écosse,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.55
2020,Nouvelle-Écosse,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.33
2015,Nouvelle-Écosse,Agression sexuelle de niveau 1,,69.62
2016,Nouvelle-Écosse,Agression sexuelle de niveau 1,,66.08
2017,Nouvelle-Écosse,Agression sexuelle de niveau 1,,78.1
2018,Nouvelle-Écosse,Agression sexuelle de niveau 1,,107.89
2019,Nouvelle-Écosse,Agression sexuelle de niveau 1,,91.05
2020,Nouvelle-Écosse,Agression sexuelle de niveau 1,,86.18
2015,Nouvelle-Écosse,Total des infractions sexuelles contre les enfants,,21.14
2016,Nouvelle-Écosse,Total des infractions sexuelles contre les enfants,,23.23
