Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,13,36.5052103
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,13,21.3734631
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,13,15.1317472
2018,Nouveau-Brunswick,Verre,Toutes les sources des matières récupérées,13,5.717245596
2018,Nouveau-Brunswick,Verre,Sources des matières résidentielles récupérées,13,2.881990287
2018,Nouveau-Brunswick,Verre,Sources des matières non résidentielles récupérées,13,2.835255309
2018,Nouveau-Brunswick,Métaux ferreux,Toutes les sources des matières récupérées,13,1.971956417
2018,Nouveau-Brunswick,Métaux ferreux,Sources des matières résidentielles récupérées,13,1.429311399
2018,Nouveau-Brunswick,Métaux ferreux,Sources des matières non résidentielles récupérées,13,0.542645018
2018,Nouveau-Brunswick,Cuivre et aluminium,Toutes les sources des matières récupérées,13,2.802800464
2018,Nouveau-Brunswick,Cuivre et aluminium,Sources des matières résidentielles récupérées,13,2.610667778
2018,Nouveau-Brunswick,Cuivre et aluminium,Sources des matières non résidentielles récupérées,13,0.192132686
2018,Nouveau-Brunswick,Métaux mélangés,Toutes les sources des matières récupérées,13,0.802283783
2018,Nouveau-Brunswick,Métaux mélangés,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Métaux mélangés,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Électroménagers,Toutes les sources des matières récupérées,13,0.173957972
2018,Nouveau-Brunswick,Électroménagers,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Électroménagers,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matériel électronique,Toutes les sources des matières récupérées,13,1.117744882
2018,Nouveau-Brunswick,Matériel électronique,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matériel électronique,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matières plastiques,Toutes les sources des matières récupérées,13,7.110207568
2018,Nouveau-Brunswick,Matières plastiques,Sources des matières résidentielles récupérées,13,4.067241247
2018,Nouveau-Brunswick,Matières plastiques,Sources des matières non résidentielles récupérées,13,3.042966321
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,13,0.614045678
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Textiles,Toutes les sources des matières récupérées,13,0.0
2018,Nouveau-Brunswick,Textiles,Sources des matières résidentielles récupérées,13,0.0
2018,Nouveau-Brunswick,Textiles,Sources des matières non résidentielles récupérées,13,0.0
2018,Nouveau-Brunswick,Pneus,Toutes les sources des matières récupérées,13,14.07891201
2018,Nouveau-Brunswick,Pneus,Sources des matières résidentielles récupérées,13,
