Year,Géographie,Actif,GeoCode,Value
2015,Nouvelle-Écosse,Infrastructure d'adduction et de distribution d'eau,12,50.5
2015,Nouvelle-Écosse,Usines de filtration de l'eau,12,46.9
2015,Nouvelle-Écosse,Autres infrastructure d'eau,12,50.7
2015,Nouvelle-Écosse,Infrastructures pour les eaux usées,12,46.3
2015,Nouvelle-Écosse,Usines d'épuration des eaux d'égout,12,46.6
2015,Nouvelle-Écosse,Autres infrastructure d'égout,12,46.3
2015,Nouvelle-Écosse,Réseaux de communication,12,43.9
2015,Nouvelle-Écosse,"Câbles et lignes – coaxiaux, cuivre, aluminium, etc.",12,44.1
2015,Nouvelle-Écosse,Fibre optique,12,44.7
2015,Nouvelle-Écosse,Structures de support pour la transmission,12,43.5
2015,Nouvelle-Écosse,Autres structures de communication,12,35.2
2015,Nouvelle-Écosse,Infrastructure liées à l'énergie électrique,12,51.9
2015,Nouvelle-Écosse,Centrales éoliennes et panneaux solaires,12,55.1
2015,Nouvelle-Écosse,Centrale énergétique thermale,12,51.2
2015,Nouvelle-Écosse,Centrale énergétique hydraulique,12,51.2
2015,Nouvelle-Écosse,Réseaux de transport d'électricité,12,51.2
2015,Nouvelle-Écosse,Réseau de distribution d'électricité,12,51.3
2015,Nouvelle-Écosse,Autres constructions de l'énergie électrique,12,55.1
2015,Nouvelle-Écosse,Construction liée aux installations de pétrole et de gaz,12,47.2
2015,Nouvelle-Écosse,Oléoducs,12,47.2
2015,Nouvelle-Écosse,Autres travaux de génie,12,51.4
2015,Nouvelle-Écosse,Installations d'élimination des déchets,12,48.2
2015,Nouvelle-Écosse,Installations récréatives de plein air,12,46.6
2015,Nouvelle-Écosse,Dépollution,12,67.0
2015,Nouvelle-Écosse,Autres machines et matériel,12,55.5
2015,Nouvelle-Écosse,"Turbines, turbogénérateurs et groupes générateurs de turbine",12,73.7
2015,Nouvelle-Écosse,Matériel de traitement de l'eau,12,42.7
2015,Nouvelle-Écosse,Transformateurs de puissance et de distribution,12,33.8
2015,Nouvelle-Écosse,Machines et matériel de transport,12,58.4
2015,Nouvelle-Écosse,Autobus,12,62.5
2015,Nouvelle-Écosse,"Locomotives, matériel ferroviaire roulant et de transport en commun rapide",12,51.8
2015,Nouveau-Brunswick,Total des actifs,13,52.7
2015,Nouveau-Brunswick,Immeubles commerciaux,13,57.4
2015,Nouveau-Brunswick,Installations sportives avec capacité d'accueil de spectateurs,13,59.1
2015,Nouveau-Brunswick,Installations récréatives intérieures,13,58.2
2015,Nouveau-Brunswick,Résidences d'étudiants,13,52.7
2015,Nouveau-Brunswick,Aéroports et autres gares de voyageurs,13,56.8
2015,Nouveau-Brunswick,Édifices de communications,13,58.2
2015,Nouveau-Brunswick,Bâtiments institutionnels,13,50.1
2015,Nouveau-Brunswick,"Écoles, collèges, universités et autres bâtiments d'enseignement",13,51.6
2015,Nouveau-Brunswick,Hôpitaux,13,44.8
2015,Nouveau-Brunswick,Maisons de soins infirmiers et résidences pour personnes âgées,13,43.6
2015,Nouveau-Brunswick,Centres religieux et lieux commémoratifs,13,61.2
2015,Nouveau-Brunswick,Musées,13,61.7
2015,Nouveau-Brunswick,Lieux historiques,13,71.3
2015,Nouveau-Brunswick,Bibliothèques,13,65.4
2015,Nouveau-Brunswick,Installations de sécurité publique,13,67.5
2015,Nouveau-Brunswick,Infrastructures de génie maritime,13,34.0
2015,Nouveau-Brunswick,Ports de mer,13,33.5
2015,Nouveau-Brunswick,Ports de plaisance et ports de commerce,13,36.3
2015,Nouveau-Brunswick,Canaux et voies navigables,13,37.8
2015,Nouveau-Brunswick,Autres infrastructures de génie maritime,13,33.4
2015,Nouveau-Brunswick,Infrastructures de génie liées aux transports,13,54.2
2015,Nouveau-Brunswick,Structures et réseaux autoroutiers et routiers,13,54.0
2015,Nouveau-Brunswick,Ponts,13,53.9
2015,Nouveau-Brunswick,Tunnels,13,53.0
2015,Nouveau-Brunswick,Lignes de chemins de fer,13,56.3
2015,Nouveau-Brunswick,Pistes d'atterrissage et de décollage,13,56.3
2015,Nouveau-Brunswick,Infrastructure d'adduction et de distribution d'eau,13,56.8
2015,Nouveau-Brunswick,Usines de filtration de l'eau,13,54.8
2015,Nouveau-Brunswick,Autres infrastructure d'eau,13,57.6
2015,Nouveau-Brunswick,Infrastructures pour les eaux usées,13,46.5
2015,Nouveau-Brunswick,Usines d'épuration des eaux d'égout,13,51.7
2015,Nouveau-Brunswick,Autres infrastructure d'égout,13,45.6
2015,Nouveau-Brunswick,Réseaux de communication,13,51.7
2015,Nouveau-Brunswick,"Câbles et lignes – coaxiaux, cuivre, aluminium, etc.",13,49.9
2015,Nouveau-Brunswick,Fibre optique,13,51.4
2015,Nouveau-Brunswick,Structures de support pour la transmission,13,53.5
2015,Nouveau-Brunswick,Autres structures de communication,13,52.0
2015,Nouveau-Brunswick,Infrastructure liées à l'énergie électrique,13,54.1
2015,Nouveau-Brunswick,Centrales éoliennes et panneaux solaires,13,53.7
2015,Nouveau-Brunswick,Centrale énergétique thermale,13,54.6
2015,Nouveau-Brunswick,Centrale énergétique nucléaire,13,54.1
2015,Nouveau-Brunswick,Centrale énergétique hydraulique,13,54.3
2015,Nouveau-Brunswick,Réseaux de transport d'électricité,13,53.9
2015,Nouveau-Brunswick,Réseau de distribution d'électricité,13,54.2
2015,Nouveau-Brunswick,Autres constructions de l'énergie électrique,13,53.7
2015,Nouveau-Brunswick,Construction liée aux installations de pétrole et de gaz,13,60.5
