Year,Géographie,Actifs d'infrastructures publiques essentielles,Type de municipalité par taille de population,GeoCode,Value
2016,Saskatchewan,Déchets solides,"Municipalités rurales, population 1 à 4 999",47,6.56
2016,Saskatchewan,Déchets solides,"Municipalités rurales, population 5 000 et plus",47,0.0
2016,Alberta,Eau potable,Toutes les municipalités,48,28.26
2016,Alberta,Eau potable,Toutes les municipalités urbaines,48,35.59
2016,Alberta,Eau potable,"Municipalités urbaines, population de 1 à 4 999",48,20.0
2016,Alberta,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",48,29.63
2016,Alberta,Eau potable,"Municipalités urbaines, population de 30 000 et plus",48,66.67
2016,Alberta,Eau potable,Toutes les municipalités rurales,48,24.8
2016,Alberta,Eau potable,"Municipalités rurales, population 1 à 4 999",48,27.16
2016,Alberta,Eau potable,"Municipalités rurales, population 5 000 et plus",48,20.0
2016,Alberta,Eaux pluviales,Toutes les municipalités,48,45.4
2016,Alberta,Eaux pluviales,Toutes les municipalités urbaines,48,46.03
2016,Alberta,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",48,27.27
2016,Alberta,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",48,51.85
2016,Alberta,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",48,69.23
2016,Alberta,Eaux pluviales,Toutes les municipalités rurales,48,44.55
2016,Alberta,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",48,40.98
2016,Alberta,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",48,51.28
2016,Alberta,Eaux usées,Toutes les municipalités,48,31.02
2016,Alberta,Eaux usées,Toutes les municipalités urbaines,48,38.1
2016,Alberta,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",48,29.17
2016,Alberta,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",48,40.74
2016,Alberta,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",48,50.0
2016,Alberta,Eaux usées,Toutes les municipalités rurales,48,28.23
2016,Alberta,Eaux usées,"Municipalités rurales, population 1 à 4 999",48,24.36
2016,Alberta,Eaux usées,"Municipalités rurales, population 5 000 et plus",48,34.78
2016,Alberta,Déchets solides,Toutes les municipalités,48,21.37
2016,Alberta,Déchets solides,Toutes les municipalités urbaines,48,30.23
2016,Alberta,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",48,9.09
2016,Alberta,Déchets solides,"Municipalités urbaines, population de 5 000 à 29 999",48,30.0
2016,Alberta,Déchets solides,"Municipalités urbaines, population de 30 000 et plus",48,50.0
2016,Alberta,Déchets solides,Toutes les municipalités rurales,48,17.05
2016,Alberta,Déchets solides,"Municipalités rurales, population 1 à 4 999",48,21.82
2016,Alberta,Déchets solides,"Municipalités rurales, population 5 000 et plus",48,6.25
2016,Colombie-Britannique,Eau potable,Toutes les municipalités,59,54.17
2016,Colombie-Britannique,Eau potable,Toutes les municipalités urbaines,59,64.06
