Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2017,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,382
2017,Ontario,Gaz naturel comprimé,35,4
2017,Ontario,Électrique,35,305
2017,Ontario,Propane,35,72
2018,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,490
2018,Ontario,Gaz naturel comprimé,35,7
2018,Ontario,Électrique,35,407
2018,Ontario,Propane,35,75
2019,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,780
2019,Ontario,Gaz naturel comprimé,35,8
2019,Ontario,Électrique,35,691
2019,Ontario,Propane,35,80
2020,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,1002
2020,Ontario,Électrique,35,907
2020,Ontario,Propane,35,86
2021,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,1450
2021,Ontario,Gaz naturel comprimé,35,9
2021,Ontario,Électrique,35,1353
2021,Ontario,Propane,35,87
2022,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,2260
2022,Ontario,Gaz naturel comprimé,35,12
2022,Ontario,Électrique,35,2147
2022,Ontario,Propane,35,100
2023,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,3592
2023,Ontario,Électrique,35,3475
2023,Ontario,Propane,35,104
2024,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,4481
2024,Ontario,Électrique,35,4355
2024,Ontario,Hydrogène,35,2
2024,Ontario,Propane,35,112
2025,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,4891
2025,Ontario,Électrique,35,4756
2025,Ontario,Propane,35,121
2013,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,2
2013,Île-du-Prince-Édouard,Électrique,11,2
2014,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,6
2014,Île-du-Prince-Édouard,Électrique,11,6
2015,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,12
2015,Île-du-Prince-Édouard,Électrique,11,12
2017,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,16
2017,Île-du-Prince-Édouard,Électrique,11,16
2018,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,18
2018,Île-du-Prince-Édouard,Électrique,11,18
2019,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,19
2019,Île-du-Prince-Édouard,Électrique,11,19
2020,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,26
2020,Île-du-Prince-Édouard,Électrique,11,26
2021,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,55
2021,Île-du-Prince-Édouard,Électrique,11,55
2022,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,91
2022,Île-du-Prince-Édouard,Électrique,11,90
2022,Île-du-Prince-Édouard,Propane,11,1
2023,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,147
2023,Île-du-Prince-Édouard,Électrique,11,146
2024,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,163
2024,Île-du-Prince-Édouard,Électrique,11,162
2025,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,177
2025,Île-du-Prince-Édouard,Électrique,11,175
2025,Île-du-Prince-Édouard,Propane,11,2
2010,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,9
2010,Québec,Électrique,24,2
2011,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,10
2011,Québec,Électrique,24,3
2012,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,20
2012,Québec,Électrique,24,13
2013,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,35
2013,Québec,Gaz naturel comprimé,24,2
2013,Québec,Électrique,24,26
2014,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,69
2014,Québec,Électrique,24,59
2014,Québec,Propane,24,8
2015,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,158
2015,Québec,Gaz naturel comprimé,24,3
2015,Québec,Électrique,24,140
2015,Québec,Propane,24,15
2016,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,249
2016,Québec,Électrique,24,230
2016,Québec,Propane,24,16
2017,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,427
